iter	Passed	Remaining
0	1	105
1	1	96
2	2	96
3	3	90
4	4	92
5	5	90
6	6	89
7	7	88
8	8	87
9	9	85
10	10	82
11	11	81
12	11	79
13	12	77
14	13	76
15	14	74
16	15	74
17	16	74
18	17	73
19	18	72
20	18	71
21	19	70
22	20	69
23	21	69
24	22	68
25	23	67
26	24	66
27	25	66
28	26	66
29	27	64
30	28	63
31	29	63
32	30	62
33	31	61
34	33	61
35	34	60
36	35	59
37	36	59
38	37	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	42	50
46	43	49
47	44	48
48	45	47
49	45	45
50	46	44
51	47	43
52	47	42
53	48	41
54	48	40
55	49	38
56	50	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	53	31
63	54	30
64	55	29
65	56	29
66	56	28
67	57	27
68	58	26
69	58	25
70	59	24
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	66	13
83	67	12
84	67	11
85	68	11
86	69	10
87	70	9
88	70	8
89	71	7
90	72	7
91	72	6
92	73	5
93	73	4
94	74	3
95	75	3
96	75	2
97	76	1
98	76	0
99	77	0
